modo_medida,filtro,tipo_de_seqs,tipo_de_plataformas,tipo_de_modos,comparacion,r_cuadrado
counts,1,isoseq,isoseq,fl,B80K20,0.3254 
counts,1,isoseq,bambu,qc,B20K80,0.8131 
counts,1,isoseq,bambu,qc,B80K20,0.813 
counts,1,isoseq,bambu,raw,B20K80,0.8086 
counts,1,isoseq,bambu,raw,B80K20,0.8112 
counts,1,isoseq,bambu,rq,B20K80,0.8132 
counts,1,isoseq,bambu,rq,B80K20,0.8127 
counts,1,isoseq,bambu,fl,B20K80,0.8131 
counts,1,isoseq,bambu,fl,B80K20,0.813 
counts,1,isoseq,flair,raw,B20K80,0.5522 
counts,1,isoseq,flair,raw,B80K20,0.528 
counts,1,isoseq,flair,rq,B20K80,0.5662 
counts,1,isoseq,flair,rq,B80K20,0.5452 
counts,1,isoseq,flair,qc,B20K80,0.5522 
counts,1,isoseq,flair,qc,B80K20,0.528 
counts,1,isoseq,flair,fl,B20K80,0.5522 
counts,1,isoseq,flair,fl,B80K20,0.528 
counts,1,isoseq,isoquant,qc,B20K80,0.6539 
counts,1,isoseq,isoquant,qc,B80K20,0.6392 
counts,1,isoseq,isoquant,raw,B20K80,0.6539 
counts,1,isoseq,isoquant,raw,B80K20,0.6392 
counts,1,isoseq,isoquant,fl,B20K80,0.6539 
counts,1,isoseq,isoquant,fl,B80K20,0.6392 
counts,1,isoseq,isoquant,rq,B20K80,0.6558 
counts,1,isoseq,isoquant,rq,B80K20,0.6412 
counts,1,masseq,isocall,raw,B20K80,0.8322 
counts,1,masseq,isoseq,qc,B20K80,0.3148 
counts,1,masseq,isocall,qc,B20K80,0.8322 
counts,1,masseq,isocall,fl,B20K80,0.8322 
counts,1,masseq,isocall,rq,B20K80,0.8322 
counts,1,masseq,isoseq,rq,B20K80,0.314 
counts,1,masseq,isoseq,fl,B20K80,0.3148 
counts,1,masseq,isoseq,raw,B20K80,0.3148 
counts,1,masseq,bambu,raw,B20K80,0.8026 
counts,1,masseq,bambu,qc,B20K80,0.8078 
counts,1,masseq,bambu,fl,B20K80,0.8078 
counts,1,masseq,bambu,rq,B20K80,0.8078 
counts,1,masseq,isoquant,raw,B20K80,0.629 
counts,1,masseq,isoquant,qc,B20K80,0.629 
counts,1,masseq,isoquant,fl,B20K80,0.629 
counts,1,masseq,flair,rq,B20K80,0.5102 
counts,1,masseq,isoquant,rq,B20K80,0.6298 
counts,1,masseq,flair,fl,B20K80,0.4933 
counts,1,masseq,flair,raw,B20K80,0.4933 
counts,1,ont,bambu,qc,B20K80,0.757 
counts,1,ont,bambu,qc,B80K20,0.7335 
counts,1,masseq,flair,qc,B20K80,0.4933 
counts,1,ont,bambu,fl,B20K80,0.757 
counts,1,ont,bambu,fl,B80K20,0.7335 
counts,1,ont,flair,raw,B20K80,0.4521 
counts,1,ont,flair,raw,B80K20,0.4078 
counts,1,ont,bambu,raw,B20K80,0.765 
counts,1,ont,bambu,raw,B80K20,0.74 
counts,1,ont,bambu,rq,B20K80,0.7513 
counts,1,ont,bambu,rq,B80K20,0.7274 
counts,1,ont,isoquant,qc,B20K80,0.5819 
counts,1,ont,isoquant,qc,B80K20,0.5398 
counts,1,ont,isoquant,raw,B20K80,0.5819 
counts,1,ont,isoquant,raw,B80K20,0.5398 
counts,1,ont,flair,qc,B20K80,0.4521 
counts,1,ont,flair,qc,B80K20,0.4078 
counts,1,ont,isoquant,fl,B20K80,0.5819 
counts,1,ont,isoquant,fl,B80K20,0.5398 
counts,1,ont,flair,rq,B20K80,0.4502 
counts,1,ont,flair,rq,B80K20,0.4044 
counts,1,ont,flair,fl,B20K80,0.4521 
counts,1,ont,flair,fl,B80K20,0.4078 
counts,1,ont,isoquant,rq,B20K80,0.5697 
counts,1,ont,isoquant,rq,B80K20,0.5251 
counts,2,isoseq,isocall,raw,B20K80,0.8046 
counts,2,isoseq,isocall,raw,B80K20,0.7954 
counts,2,isoseq,isoseq,fl,B20K80,0.3143 
counts,2,isoseq,isoseq,fl,B80K20,0.3139 
counts,2,isoseq,isoseq,qc,B20K80,0.3143 
counts,2,isoseq,isoseq,qc,B80K20,0.3139 
counts,2,isoseq,isoseq,rq,B20K80,0.3155 
counts,2,isoseq,isoseq,rq,B80K20,0.3147 
counts,2,isoseq,isocall,fl,B20K80,0.8046 
counts,2,isoseq,isocall,fl,B80K20,0.7954 
counts,2,isoseq,isocall,qc,B20K80,0.8046 
counts,2,isoseq,isocall,qc,B80K20,0.7954 
counts,2,isoseq,isocall,rq,B20K80,0.8043 
counts,2,isoseq,isocall,rq,B80K20,0.7948 
counts,2,isoseq,isoseq,raw,B20K80,0.3143 
counts,2,isoseq,isoseq,raw,B80K20,0.3139 
counts,2,isoseq,bambu,raw,B20K80,0.8159 
counts,2,isoseq,bambu,raw,B80K20,0.8221 
counts,2,isoseq,bambu,fl,B20K80,0.8153 
counts,2,isoseq,bambu,fl,B80K20,0.82 
